gene,degree_centrality,clustering_coeff,betweenness,kcore,loeuf,pubmed_count
A1BG,0.00167859787706739,0.0463458110516934,6.8661804531023e-06,30,1.208,14
A1CF,0.00157985682547519,0.0766129032258065,5.04855951432655e-06,28,0.88,14
A2M,0.00918291779807455,0.0535309503051439,0.000232435401424447,83,0.544,75
A2ML1,0.00641816835349297,0.0398330351818724,0.00010979839836632,68,0.952,26
A3GALT2,4.93705257960997e-05,0,0,1,1.764,1
A4GALT,0.000740557886941496,0.104761904761905,2.35000476103245e-06,15,1.654,8
A4GNT,0.00241915576400889,0.0518707482993197,1.55396671812349e-05,41,0.739,3
AAAS,0.00804739570476426,0.176475043550708,3.73966704603783e-05,119,0.988,76
AACS,0.00123426314490249,0.206666666666667,4.54923587444355e-06,23,1.088,9
AADAC,9.87410515921995e-05,0,6.13322484333228e-09,2,0.944,2
AADAT,0.00108615156751419,0.588744588744589,2.21568316310493e-06,21,0.508,5
AAED1,0.000148111577388299,0,6.08206488644172e-09,3,1.801,5
AAGAB,0.00162922735127129,0.15719696969697,6.44352441952716e-06,31,1.037,19
AAK1,0.00543075783757097,0.252543786488741,1.5631431402494e-05,88,0.129,47
AAMDC,0.00182670945445569,0.193693693693694,7.27431476787509e-06,33,1.838,18
AAMP,0.00360404838311528,0.176179604261796,2.03603863431522e-05,62,0.411,50
AANAT,0.000444334732164898,0.0833333333333333,6.42709086985426e-07,9,1.227,5
AAR2,0.0325351764996297,0.135020824589158,0.00022659153323419,147,1.348,53
AARD,0.000740557886941496,0.114285714285714,3.61285978269971e-07,15,1.103,1
AARS,0.00799802517896816,0.235334713595583,3.88789085978621e-05,123,0.617,94
AARS2,0.0159960503579363,0.226044413866911,0.000119232243559699,127,0.835,50
AARSD1,0.00587509256973587,0.109101267625694,4.74978420581252e-05,78,1.108,22
AASDH,0.000592446309553197,0.136363636363636,3.66787387498656e-07,12,0.828,8
AASDHPPT,0.00409775364107628,0.170143990596532,2.4355501611851e-05,68,0.717,47
AASS,0.00390027153789188,0.302174618630315,1.43131018161736e-05,71,0.809,37
AATF,0.0161441619353246,0.231496594810604,5.4319009622628e-05,147,1.065,94
AATK,0.00947914095285115,0.0506108202443281,4.39076198013478e-05,103,0.403,11
ABAT,0.00355467785731918,0.150234741784038,2.37547810391719e-05,52,0.567,15
ABCA1,0.00162922735127129,0.142045454545455,3.17018653619506e-06,31,0.486,25
ABCA10,0.000394964206368798,0.178571428571429,2.51110684660259e-06,8,0.968,5
ABCA12,0.000543075783757097,0.290909090909091,5.00815212291094e-08,11,0.478,7
ABCA13,0.000789928412737596,0.191666666666667,7.49469642245453e-07,16,1.035,12
ABCA17P,4.93705257960997e-05,0,0,1,,1
ABCA2,0.00562823994075537,0.0624126688402422,0.000105758961136356,66,0.169,19
ABCA3,0.00330782522833868,0.0303030303030303,1.27384797368792e-05,50,0.501,11
ABCA4,0.000246852628980499,0.3,7.8550546185804e-07,4,0.91,5
ABCA5,0.000592446309553197,0.0909090909090909,8.89570143198738e-07,12,0.838,9
ABCA6,0.000444334732164898,0.0277777777777778,4.21613240780876e-07,8,0.864,2
ABCA7,0.000987410515921995,0.0473684210526316,3.03832255547541e-06,20,1.067,8
ABCA8,0.000493705257960997,0.0222222222222222,7.81511643913134e-07,9,1.186,5
ABCA9,0.000444334732164898,0.111111111111111,6.91027395698474e-07,8,1.07,4
ABCB1,0.00469019995062947,0.0555431131019037,3.82280530096301e-05,60,0.473,34
ABCB10,0.00404838311528018,0.0858175248419151,2.77946616328285e-05,58,0.937,34
ABCB11,0.000394964206368798,0.0714285714285714,6.12783953851094e-07,8,0.638,7
ABCB4,0.000296223154776598,0.0666666666666667,2.26093018376426e-06,5,0.508,3
ABCB5,0.000789928412737596,0.241666666666667,8.52494440719905e-07,15,1.127,7
ABCB6,0.00439397679585288,0.0661389172625128,4.45628921018914e-05,62,0.977,21
ABCB7,0.00701061466304616,0.200479472580162,2.92527140190045e-05,111,0.109,60
ABCB8,0.00301160207356208,0.0333333333333333,1.19597972841359e-05,51,1.081,10
ABCB9,0.00172796840286349,0.0336134453781513,1.05373249205755e-05,28,0.653,7
ABCC1,0.00720809676623056,0.195087387812943,2.22037769384114e-05,112,0.397,48
ABCC10,0.00182670945445569,0.0195195195195195,7.67232394102938e-06,34,0.941,10
ABCC11,0.000246852628980499,0.2,2.2854938530053e-07,5,1.236,6
ABCC12,0.000592446309553197,0.106060606060606,4.31871505093108e-07,10,1.274,7
ABCC13,4.93705257960997e-05,0,0,1,,1
ABCC2,0.00365341890891138,0.0810810810810811,1.60976702244404e-05,63,1.158,15
ABCC3,0.00108615156751419,0.333333333333333,4.83969835812606e-07,22,0.896,14
ABCC4,0.00306097259935818,0.0930724484399788,4.84370374830576e-05,48,0.492,24
ABCC5,0.00251789681560109,0.166274509803922,8.33653207499619e-06,49,0.387,19
ABCC6,0.00256726734139719,0.0693815987933635,1.75972304580327e-06,47,1.026,3
ABCC8,0.000493705257960997,0.111111111111111,2.59141304869193e-06,9,0.765,9
ABCC9,0.000246852628980499,0.1,8.41899023923849e-08,5,0.482,5
ABCD1,0.00375215996050358,0.134385964912281,1.92890034698956e-05,67,0.15,34
ABCD2,0.000148111577388299,0.666666666666667,1.62857830615896e-09,3,0.718,4
ABCD3,0.0134287830165391,0.143830041241589,0.00010705698668448,131,0.435,143
ABCD4,0.00207356208343619,0.0650406504065041,8.067614269522e-06,34,0.898,8
ABCE1,0.0198469513700321,0.145742608652498,0.000158290354034397,145,0.314,108
ABCF1,0.0105652925203653,0.239743758501163,0.000153371762210139,138,0.612,138
ABCF2,0.00992347568501605,0.244477611940299,2.31298211620867e-05,136,0.478,135
ABCF3,0.00597383362132807,0.130716253443526,5.57952372962087e-05,81,0.573,54
ABCG1,0.000543075783757097,0.181818181818182,3.24893300866558e-07,11,0.461,9
ABCG2,0.00227104418662059,0.178743961352657,7.62439847164657e-06,39,1.549,11
ABCG4,0.000345593680572698,0.0476190476190476,4.23112793401372e-07,7,0.819,3
ABCG5,9.87410515921995e-05,0,3.05998671666622e-08,2,1.385,2
ABCG8,0.000789928412737596,0.0333333333333333,2.37904754604959e-06,14,1.365,7
ABHD1,4.93705257960997e-05,0,0,1,1.913,1
ABHD10,0.00473957047642557,0.169956140350877,1.71688054022543e-05,76,1.061,39
ABHD11,0.00315971365095038,0.0823412698412698,1.71777529467611e-05,51,0.941,12
ABHD12,0.00533201678597877,0.116822429906542,4.10147577173186e-05,76,0.763,45
ABHD12B,0.000197482103184399,0.333333333333333,2.79253845240838e-08,4,1.582,6
ABHD13,0.000197482103184399,0.166666666666667,2.24758923248252e-08,4,0.406,2
ABHD14A,0.00311034312515428,0.0445468509984639,1.07928233242182e-05,51,1.395,6
ABHD14A-ACY1,0.000197482103184399,0.5,1.93745882863504e-08,4,1.049,4
ABHD14B,0.00172796840286349,0.18655462184874,2.01683989933891e-06,34,1.695,26
ABHD15,0.00162922735127129,0.153409090909091,3.09435994149688e-06,32,1.489,5
ABHD15-AS1,4.93705257960997e-05,0,0,1,,1
ABHD16A,0.00439397679585288,0.0669050051072523,5.55808406755944e-05,54,0.384,16
ABHD16B,0.000197482103184399,0.5,2.54925831153567e-08,4,1.19,2
ABHD17A,0.00177733892865959,0.0634920634920635,1.18953845319973e-05,33,0.803,7
ABHD17B,0.00286349049617378,0.0139140955837871,1.43430188593016e-05,44,0.65,5
ABHD17C,0.000394964206368798,0.142857142857143,1.87578077601939e-07,8,0.302,5
ABHD2,0.000197482103184399,0,6.31478153465407e-07,4,0.431,4
ABHD3,0.00118489261910639,0.0108695652173913,2.66698863575645e-06,24,1.181,6
ABHD4,0.000740557886941496,0.0666666666666667,5.50544088478926e-07,15,1.073,3
ABHD5,0.00172796840286349,0.0571428571428571,9.47060659715427e-06,30,0.982,13
ABHD6,0.00118489261910639,0.0289855072463768,7.15712988619274e-06,24,0.984,8
ABHD8,0.000493705257960997,0.0666666666666667,2.25730277395898e-06,9,0.31,6
ABI1,0.0103184398913848,0.139492086860508,7.12872891054083e-05,115,0.418,69
ABI2,0.0141199703776845,0.0722610722610723,0.000320545404941169,103,0.46,47
ABI3,0.00380153048629968,0.0659603554340397,1.77182602001755e-05,56,1.04,12
ABI3BP,0.000641816835349297,0.128205128205128,4.45421857086921e-07,13,0.558,10
ABL1,0.010910886200938,0.132579185520362,0.000115920812332434,115,0.176,223
ABL2,0.00513453468279437,0.204070201643017,1.70354548027924e-05,83,0.58,61
ABLIM1,0.00834361885954085,0.174485770639617,8.96463412053994e-05,111,0.326,89
ABLIM2,0.000789928412737596,0.125,1.32768375738831e-06,15,0.465,11
ABLIM3,0.00172796840286349,0.0857142857142857,4.1260536937337e-06,33,0.59,13
ABO,0.000148111577388299,0,4.39524571833771e-08,3,,2
ABR,0.00192545050604789,0.238866396761134,2.27790420685508e-06,39,0.361,30
ABRA,0.00177733892865959,0.226984126984127,1.42306388313376e-06,33,1.172,5
ABRACL,0.000345593680572698,0.19047619047619,1.42653149679557e-07,7,1.371,4
ABT1,0.0191063934830906,0.191870506486725,9.79490886768275e-05,139,1.015,46
ABTB1,0.000789928412737596,0.141666666666667,1.05002053310845e-06,16,0.756,16
ABTB2,0.00483831152801777,0.0608037029244688,3.89309146955985e-05,65,0.464,17
ACAA1,0.00360404838311528,0.124809741248097,1.34742176963202e-05,61,1.118,28
ACAA2,0.00873858306590965,0.115562403697997,7.34136143264315e-05,101,1.306,55
ACACA,0.0150580103678104,0.164085418464193,0.000157095535863926,139,0.216,156
ACACB,0.00666502098247346,0.0809286898839138,9.27947068110134e-05,85,0.857,48
ACAD10,0.00493705257960997,0.0444444444444444,3.65098756135519e-05,63,1.085,15
ACAD11,0.00854110096272525,0.0923511224626966,0.00017729649422592,86,0.883,54
ACAD8,0.00172796840286349,0.0470588235294118,1.54785570059065e-05,28,1.27,15
ACAD9,0.0213280671439151,0.198612185271118,0.000175738883622771,127,0.814,65
