Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,library
'De Novo' Post-Translational Protein Folding (GO:0051084),'De Novo' Post-Translational Protein Folding (GO:0051084),-0.253273096072285,-1.02967637643999,0.423076923076923,0.504506787330317,0.423076923076923,,,UGGT1;ENTPD5;HSPE1;CHCHD4;HSPA9;ST13;HSPA7;HSPA14;HSPA13;DNAJC7;ERO1A;HSPA5;HSPA6;GAK;HSPA1L;HSPA2;PTGES3;HSPA1B;DNAJB1;HSPA1A;HSPA8;CCT2,GO_Biological_Process_2023
ABC transporters,ABC transporters,0.454127490951886,1.45100921940144,0.028552840563851,0.0555705821726563,0.028552840563851,,,ABCG5;ABCG8;ABCA6;ABCC8;ABCA10;ABCA2;ABCA5;ABCA7;ABCA8;ABCA9;ABCB10;ABCB5;ABCB7;ABCB8;ABCB9;ABCC10;ABCC11;ABCG4;ABCA12;ABCB6;ABCC6;ABCB4;ABCG1;ABCC9;CFTR;ABCA1,GO_Biological_Process_2023
AGE-RAGE signaling pathway in diabetic complications,AGE-RAGE signaling pathway in diabetic complications,0.439085251091132,1.53621787358333,0.00117834188200306,0.00352945428959309,0.00117834188200306,,,NFATC1;CCND1;SMAD4;SMAD3;FOXO1;CDK4;SMAD2;PRKCB;AKT2;STAT5B;STAT5A;AKT3;STAT1;SERPINE1;CDKN1B;BCL2;STAT3;AKT1;TGFBR1;EGR1;TGFBR2;MAPK1;PIK3CD;MAPK3;PIK3CB;JUN;PRKCA;JAK2;PLCB1;PLCB3;RELA;PIK3CA;PIK3R3;NFKB1;PLCB2;F3;PLCG2;KRAS;IL6;RAC1;EDN1;HRAS;NRAS;PIK3R1;TGFB1;PIK3R2;VEGFA;MAPK14;PRKCD;PRKCZ;CDC42;TGFB2;MAPK12;TNF;MAPK11;PLCG1;MMP2;MAPK9;MAPK8;MAPK13;PRKCE;MAPK10;NOX1;TGFB3;IL1B;PLCB4;BAX;PIM1;NOS3;IL1A;CYBB;NOX4;AGER;PLCD1;PLCD3;PLCD4;PLCE1,GO_Biological_Process_2023
AMPK signaling pathway,AMPK signaling pathway,0.391948951450704,1.37799809056222,0.00893743846359247,0.0206637491484884,0.00893743846359247,,,EIF4EBP1;RPS6KB2;ELAVL1;CRTC2;CCND1;HNF4A;EEF2K;RPS6KB1;PPARGC1A;SIRT1;EEF2;FOXO1;PPARG;AKT2;AKT1S1;AKT3;ADIPOQ;SREBF1;RHEB;TSC2;CPT1A;MTOR;RPTOR;IRS2;FOXO3;IRS4;PDPK1;IRS1;AKT1;INS;CREB1;PIK3CD;RAB11B;CCNA2;PIK3CB;ADIPOR1;ADIPOR2;CCNA1;INSR;PPP2R2A;PIK3CA;HMGCR;PIK3R3;IGF1R;MAP3K7;SCD5;CAB39;CAB39L;STRADA;STRADB;TSC1;PRKAA1;ULK1;PRKAB1;PRKAG1;PRKAG3;LEP;PRKAA2;RAB10;SCD;PPP2R5C;PPP2R5E;PIK3R1;PIK3R2;STK11;PRKAB2;PRKAG2;PPP2R5A;PPP2CA;CFTR;PPP2CB;PPP2R5B;CAMKK2;PPP2R1A;PPP2R3B,GO_Biological_Process_2023
ATP Biosynthetic Process (GO:0006754),ATP Biosynthetic Process (GO:0006754),-0.344182186981376,-1.39926534883527,0.0696253340860739,0.115314115407916,0.0696253340860739,,,SLC25A13;ALDOA;ATP5F1A;ATP5PO;ATP5PF;ATP5PD;ATP5MG;ATP5F1C;NUDT2;ATP5MC1;ATP5F1B;ATP5PB;ATP5MK;ATP5MJ;ATP5MF;ATP5ME;ATP5MC3;ATP5MC2;ATP5F1E;ATP5F1D;PRKAG2;TGFB1,GO_Biological_Process_2023
ATP Metabolic Process (GO:0046034),ATP Metabolic Process (GO:0046034),-0.477532470042787,-2.16132165486376,0.000214640254809572,0.000767134563734071,0.000214640254809572,,,PARG;NDUFS1;CLPX;NUDT5;FIGNL1;ENPP3;ENPP1;AK4;CTNS;NMNAT1;NADK;SLC25A13;NT5E;ALDOA;MYH8;MYH6;MYH3,GO_Biological_Process_2023
Acetylcholine Receptor Signaling Pathway (GO:0095500),Acetylcholine Receptor Signaling Pathway (GO:0095500),0.538846581394634,1.44803963413073,0.0366430260047281,0.0675297657425317,0.0366430260047281,,,CHRM4;CHRM3;PLCB1;CHRNA3;CHRNA7;CHRNB2;CHRND;CDK5R1;CHRM2;GNA11;GNAQ;CHRM1;CHRM5;GNB1;GRK2,GO_Biological_Process_2023
Actin Cytoskeleton Reorganization (GO:0031532),Actin Cytoskeleton Reorganization (GO:0031532),0.4228967528194,1.32690093738768,0.0837867247007617,0.133784222048979,0.0837867247007617,,,AUTS2;FGF10;FGF7;MINK1;TNIK;KIT;SIPA1L1;RICTOR;NPHS2;EZR;PARVA;PARVB;GRB2;FER;ASB2;MYH9;RHOA;PAK1;S1PR1;CTTN;PIP5K1A;BCAR1;PTPN1,GO_Biological_Process_2023
Actin Filament Bundle Assembly (GO:0051017),Actin Filament Bundle Assembly (GO:0051017),0.390242423387845,1.06638173707168,0.406542056074766,0.489860946311678,0.406542056074766,,,DPYSL3;EZR;LCP1;BAIAP2;EPS8;ESPN;ESPNL;FSCN2;PLS1;USH1C,GO_Biological_Process_2023
Actin Filament Bundle Organization (GO:0061572),Actin Filament Bundle Organization (GO:0061572),0.392828781962898,1.05564675614594,0.437352245862884,0.517727984574153,0.437352245862884,,,DPYSL3;EZR;LCP1;BAIAP2;EPS8;ESPN;ESPNL;FSCN2;PLS1;USH1C,GO_Biological_Process_2023
