Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,library
'De Novo' Post-Translational Protein Folding (GO:0051084),'De Novo' Post-Translational Protein Folding (GO:0051084),0.451035196392776,1.17232911797492,0.275521405049396,0.509277771127654,0.275521405049396,,,CCT2;HSPA1A;HSPA8;HSPA1B;HSPA1L;HSPA2;DNAJB1;HSPA6;DNAJC7;HSPA13;HSPA14;HSPA7;ST13;PTGES3;GAK;HSPA5;CHCHD4;HSPA9;UGGT1,GO_Biological_Process_2023
ABC transporters,ABC transporters,0.598366038834847,1.71349033425716,0.000169805614433306,0.00111800390770138,0.000169805614433306,,,ABCB4;ABCA10;ABCA2;ABCA5;ABCA7;ABCA8;ABCA9;ABCB10;ABCB5;ABCB7;ABCB8;ABCB9;ABCC10;ABCC11;ABCG4;ABCA12;ABCB6;ABCC6;ABCA1;ABCG5;ABCG8;TAP1;TAP2;CFTR;ABCG1;ABCA6,GO_Biological_Process_2023
AGE-RAGE signaling pathway in diabetic complications,AGE-RAGE signaling pathway in diabetic complications,-0.199073101749721,,,,,,,NOX4;PIK3CD;NRAS;PIK3R1;THBD;HRAS;KRAS;COL3A1;TNF;PIK3CA;PIK3R3;PIK3R2;COL4A4;COL4A3;STAT5B;COL1A1;COL4A2;COL4A1;F3;TGFB3;PIM1;DIAPH1;COL1A2;ICAM1;PIK3CB;STAT5A;PLCG1;FN1;AGTR1;COL4A5;VCAM1;TGFB2;PRKCB;PLCE1;PLCD4;PLCD3;PLCD1;CYBB;VEGFD;VEGFC;VEGFB;CXCL8;NOS3;COL4A6;PRKCA;MAPK13;SELE;CDKN1B;PRKCE;AKT2;VEGFA;AKT3;EGR1;CCL2;NOX1;AKT1;RAC1;PLCB4;FOXO1;JAK2;CDC42;MAPK12;TGFB1;MAPK1;EDN1;PLCB2;MAPK3;MAPK8;PLCB3;PLCB1;IL6;PLCG2;PRKCD;CDK4;PRKCZ;MMP2;CCND1;SMAD2;CASP3;MAPK9;MAPK10;STAT3;IL1A;STAT1;AGT;IL1B;BAX;MAPK11;NFATC1;AGER;SMAD4;JUN;SMAD3;MAPK14;BCL2;TGFBR2;TGFBR1,GO_Biological_Process_2023
AMPK signaling pathway,AMPK signaling pathway,0.479018783149101,1.46462976986079,0.00049049335508799,0.00285921736258609,0.00049049335508799,,,EIF4EBP1;EEF2K;RPS6KB1;CRTC2;HMGCR;ADIPOQ;ELAVL1;SREBF1;CAB39;CAB39L;STRADA;STRADB;LIPE;SCD;PPARGC1A;CPT1A;PPP2R2A;SCD5;PPP2R2D;SIRT1;CD36;RAB8A;PPARG;RAB2A;TBC1D1;PRKAB1;PRKAG1;PRKAG3;PPP2R3B;TSC1;LEP;PRKAA1;CFTR;PRKAA2;PRKAB2;PRKAG2;RHEB;RPTOR;ACACB;SLC2A4;RAB10;FASN;EEF2;CCNA1;CCNA2;PPP2R5A;PPP2R5E;PPP2R5B;PPP2R1A;AKT1S1;PCK1;RAB11B;PPP2R5C;STK11;PPP2R1B,GO_Biological_Process_2023
ATP Biosynthetic Process (GO:0006754),ATP Biosynthetic Process (GO:0006754),0.571682251024442,1.48591452388955,0.0216195570784524,0.07477676037265,0.0216195570784524,,,PRKAG2;ATP5F1D;ATP5F1E;ATP5MC2;ATP5MC3;ATP5ME;ATP5MF;ATP5MJ;ATP5MK;ATP5PB;ATP5F1B;ATP5MC1;ATP5F1C;ATP5MG;ATP5PD;ATP5PF;ATP5PO;ATP5F1A,GO_Biological_Process_2023
ATP Metabolic Process (GO:0046034),ATP Metabolic Process (GO:0046034),0.17805686950189,0.490276852933491,0.985200845665962,1,0.985200845665962,,,HSPA1A;HSPA8;HSPA1B;PRKAG2;ATP5F1B;PARP1;ATP5F1C;ATP5PO;ATP5F1A,GO_Biological_Process_2023
Acetylcholine Receptor Signaling Pathway (GO:0095500),Acetylcholine Receptor Signaling Pathway (GO:0095500),-0.464627580863714,-1.72413722068617,0.0154322395856664,0.0562241655636322,0.0154322395856664,,,LYPD1;LY6H;LY6G6D;CHRND;CHRNB2;CHRNA7;CHRNA3,GO_Biological_Process_2023
Actin Cytoskeleton Reorganization (GO:0031532),Actin Cytoskeleton Reorganization (GO:0031532),-0.273240934707519,-1.29891750396686,0.0865821721524394,0.217822517309821,0.0865821721524394,,,CDC42BPB;CDC42BPA;SYDE1;SIPA1L1;FGF7;FGF10;ANXA1;THSD7B;THSD7A;GRB2;WHAMM;FARP2,GO_Biological_Process_2023
Actin Filament Bundle Assembly (GO:0051017),Actin Filament Bundle Assembly (GO:0051017),0.282422530096951,0.706742324618407,0.855530474040632,1,0.855530474040632,,,LCP1;EPS8;ESPN;ESPNL;FSCN2;PLS1;USH1C;MICAL1;EZR;RHOD,GO_Biological_Process_2023
Actin Filament Bundle Organization (GO:0061572),Actin Filament Bundle Organization (GO:0061572),0.2826443357879,0.697901601997945,0.865079365079365,1,0.865079365079365,,,LCP1;EPS8;ESPN;ESPNL;FSCN2;PLS1;USH1C;MICAL1;EZR;RHOD,GO_Biological_Process_2023
