pathway,mean_residual,deviation_kappa,deviation_kappa_p,r2,n_genes,mean_shet,mean_degree,density,mean_loeuf,super_pathway,regime
ABC transporter disorders,0.0422138202288509,0.0628704057813749,0.0169747260631187,0.0975773854523016,58,0.123423912012114,303,0.332837301587302,0.567765625,Other,Equilibrium
ABC-family proteins mediated transport,0.0264462735985758,0.0558021777642756,0.0065768640918326,0.0968387998667976,75,0.104755346617272,264.84,0.185137895812053,0.606011235955056,Transport & Vesicles,Equilibrium
ADORA2B mediated anti-inflammatory cytokines production,0.0229225279957167,0.0189203979022291,0.47965689807353,0.0128926403754656,41,0.0884048627490714,113.439024390244,0.153931339977852,0.815928571428571,Other,Equilibrium
ADP signalling through P2Y purinoceptor 1,0.0295906441643131,0.084769582425902,0.00637450497191319,0.292332502269993,24,0.0939417039787515,112.5,0.27,1.05832,Other,Equilibrium
ADP signalling through P2Y purinoceptor 12,0.00780238450844353,0.0513766921039334,0.0936053322240289,0.140884862779742,21,0.0728583145877742,106.714285714286,0.411255411255411,1.14831818181818,Other,Equilibrium
AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),0.0436404973478371,0.125339229268035,0.0358443377612204,0.0851256055834621,52,0.13247284852818,354.365384615385,0.463312368972746,0.490962962962963,Immune System,Equilibrium
APC-Cdc20 mediated degradation of Nek2A,0.0126193392246256,-0.0155418639963995,0.810144330898184,0.00281056546146026,23,0.0950690316131834,266.95652173913,0.526153846153846,0.674538461538462,Cell Cycle & DNA,Equilibrium
APC/C-mediated degradation of cell cycle proteins,0.0529375603761782,0.0573735545703244,0.189553398916771,0.0251741699935205,70,0.141125505679563,355.071428571429,0.381710477600889,0.475135135135135,Cell Cycle & DNA,Equilibrium
APC/C:Cdc20 mediated degradation of Cyclin B,0.0318744015250986,0.0127116837953175,0.855181590884527,0.00179827575506186,21,0.115269020668484,292.142857142857,0.478260869565217,0.647708333333333,Cell Cycle & DNA,Equilibrium
APC/C:Cdc20 mediated degradation of Securin,0.063137097615021,0.0599838016828815,0.321162711850251,0.0205054384728275,50,0.150535892275168,321.52,0.475192173305381,0.479833333333333,Cell Cycle & DNA,Equilibrium
APC/C:Cdc20 mediated degradation of mitotic proteins,0.0556679730708891,0.0879080108862385,0.113313922283839,0.0441695336284758,58,0.142359233353062,307.5,0.409307244843998,0.487548387096774,Cell Cycle & DNA,Equilibrium
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,0.0660150459919422,0.0546225014295633,0.311283549504539,0.0189794817028988,56,0.154743782570252,358,0.455367231638418,0.46625,Cell Cycle & DNA,Equilibrium
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,0.059516314777865,0.079834083345169,0.171628971222117,0.0343228307344049,56,0.146620562686235,313.321428571429,0.426553672316384,0.471133333333333,Cell Cycle & DNA,Equilibrium
ATF4 activates genes in response to endoplasmic reticulum  stress,-0.0229306678675215,-0.00979460440015868,0.884300333495479,0.000984180931761621,24,0.0516172517026585,126.833333333333,0.199430199430199,0.912384615384615,Signal Transduction,Equilibrium
ATP-dependent chromatin remodelers,0.0923502839148408,0.188078950043395,0.0123683701140736,0.210214991090045,29,0.174775011711055,240,0.800492610837438,0.332413793103448,Other,Topology-Amplified
AUF1 (hnRNP D0) binds and destabilizes mRNA,0.0916673850818286,-0.0165525140362296,0.880422019168936,0.000619762007209637,39,0.185489990858958,469.846153846154,0.769512195121951,0.411756097560976,Other,Equilibrium
AURKA Activation by TPX2,0.00799182940705017,0.1159950606338,0.00242245343570124,0.145477007592493,61,0.0935734345202529,316.786885245902,0.228985507246377,0.642695652173913,Cell Cycle & DNA,Equilibrium
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,0.0738550364485855,-0.0486702161834723,0.505467687805236,0.0322887257909621,16,0.151510232934412,195.3125,0.566176470588235,0.429058823529412,Other,Decoupled
Aberrant regulation of mitotic cell cycle due to RB1 defects,0.0626398992372118,0.019962974419404,0.711240395275591,0.00463399577407944,32,0.141440030150643,207.53125,0.344444444444444,0.514277777777778,Other,Equilibrium
Aberrant regulation of mitotic exit in cancer due to RB1 defects,0.0619221157498165,0.149943461889122,0.0769501005295413,0.193841638682728,17,0.14248587765825,225.588235294118,0.589473684210526,0.5673,Other,Equilibrium
Abortive elongation of HIV-1 transcript in the absence of Tat,-0.0011909791878934,0.189561401996446,0.0192544070342428,0.24472732099419,22,0.0804274027051389,204.681818181818,0.675889328063241,0.815478260869565,Other,Equilibrium
Acetylcholine Neurotransmitter Release Cycle,0.0688709778867343,0.103979674054351,0.0853789477916414,0.196612962411508,16,0.130292512248681,72.0625,0.158333333333333,0.390125,Other,Topology-Amplified
Activated NOTCH1 Transmits Signal to the Nucleus,0.0385478590895031,-0.029487083756778,0.463271433088651,0.0226267153546765,26,0.113064209673752,237.5,0.142528735632184,0.545451612903226,Signal Transduction,Equilibrium
Activation of AMPK downstream of NMDARs,-0.021372712463733,0.0586046241273027,0.103028021049463,0.116237179876777,24,0.0618174625389874,296.666666666667,0.26984126984127,0.763222222222222,Other,Equilibrium
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,0.0576100832004823,0.0948348628060378,0.0781267283068735,0.0534428068360708,59,0.144609512388931,316.305084745763,0.412186379928315,0.484730158730159,Cell Cycle & DNA,Equilibrium
Activation of ATR in response to replication stress,-0.0524248182164447,-0.0242967271630139,0.0660945120981643,0.0932378210312065,37,0.0282791487716642,417.783783783784,0.403903903903904,0.807378378378378,Cell Cycle & DNA,Equilibrium
Activation of BAD and translocation to mitochondria,0.0489493476254039,-0.0215086192789819,0.734171830206374,0.0091752568396025,15,0.140006043336489,585,0.380952380952381,0.600533333333333,Other,Equilibrium
Activation of BH3-only proteins,0.0493770918358239,-0.0284321960322957,0.451520639037857,0.0211583107377433,29,0.135648086502189,456.48275862069,0.204597701149425,0.597366666666667,Other,Equilibrium
Activation of G protein gated Potassium channels,0.039803868621147,0.0133352981418038,0.641161082730152,0.00882525156431187,27,0.0946021753129614,65.4814814814815,0.17487684729064,1.02010344827586,Other,Equilibrium
Activation of GABAB receptors,0.0320374125744089,-0.0175712257863737,0.443726819348351,0.0155200009164981,40,0.0878530449086257,70.35,0.124031007751938,0.846372093023256,Other,Equilibrium
Activation of HOX genes during differentiation,0.0480773406077052,0.054307326989573,0.0433192602152608,0.0674076885716768,61,0.124349141963364,250.459016393443,0.153358011634056,0.545258064516129,Other,Equilibrium
"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",-0.0126801073719174,0.0253784251576455,0.416671645680697,0.0416414523906818,18,0.0654429046518978,293.444444444444,0.248366013071895,0.861176470588235,Immune System,Equilibrium
Activation of Matrix Metalloproteinases,-9.68984062373206e-05,0.0169724805129086,0.540541839708687,0.0165037435570747,25,0.0509180950621447,52.08,0.0378787878787879,1.075,Other,Equilibrium
Activation of NF-kappaB in B cells,0.0637254497925046,0.0452914446856556,0.392138896753508,0.014984554821242,51,0.15350818341198,384.313725490196,0.499274310595065,0.373301886792453,Immune System,Equilibrium
Activation of NMDA receptors and postsynaptic events,0.0155357930265935,-0.0174138192631657,0.434687171131793,0.00745980967709054,84,0.0912929282310298,217.511904761905,0.0857877512856475,0.531411111111111,Other,Equilibrium
Activation of SMO,0.00836369410593279,-0.0112105538457741,0.708724853045802,0.010276766870162,16,0.0696232958243686,118.875,0.0514705882352941,0.677705882352941,Signal Transduction,Equilibrium
Activation of anterior HOX genes in hindbrain development during early embryogenesis,0.0480773406077052,0.054307326989573,0.0433192602152608,0.0674076885716768,61,0.124349141963364,250.459016393443,0.153358011634056,0.545258064516129,Other,Equilibrium
Activation of gene expression by SREBF (SREBP),0.0464877812152655,0.15695250810593,0.0116184955328302,0.156141915109185,40,0.118860011839698,130.125,0.0662020905923345,0.557476190476191,Metabolism,Equilibrium
Activation of kainate receptors upon glutamate binding,0.0327267474561469,0.0501966069053819,0.0980615359473301,0.0980895203621647,29,0.094258723569757,96.7586206896552,0.170114942528736,0.871,Other,Equilibrium
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.0926556243373283,0.13473326141778,0.0781841257274015,0.0563319799899021,56,0.183749224888606,378.464285714286,0.524858757062147,0.53655,Other,Topology-Amplified
Activation of the pre-replicative complex,-0.0406268376320113,-0.0301111381466923,0.157609793497181,0.0654396665366386,32,0.0411205896162542,463.09375,0.431818181818182,0.81453125,Cell Cycle & DNA,Equilibrium
Acyl chain remodelling of PC,-0.0226058088928451,-0.00225952785062464,0.921818485271423,0.000550030216611932,20,0.0270803804532339,36.35,0.00307692307692308,1.14096153846154,Metabolism,Equilibrium
Acyl chain remodelling of PE,-0.0215276004667607,0.00732333147480679,0.774127007905933,0.00469315422534752,20,0.0258911717639857,28.5,0.0036231884057971,1.13341666666667,Metabolism,Equilibrium
Acyl chain remodelling of PS,-0.0225948600307211,-0.00184562411376802,0.939805767342595,0.000367635535456515,18,0.0264546936834846,41.2222222222222,0.00952380952380953,1.13442857142857,Metabolism,Equilibrium
Adherens junctions interactions,0.056961330603208,0.0240757495725727,0.131270439298157,0.0145389018524223,158,0.137687575145752,324.177215189873,0.0949099937926754,0.481965317919075,Other,Equilibrium
Adipogenesis,0.044955258250678,0.0702197105338176,0.0121565391733743,0.0606467906323975,103,0.120795094970166,213.78640776699,0.166326877336052,0.625862385321101,Other,Equilibrium
"Adrenaline,noradrenaline inhibits insulin secretion",0.016216133322021,0.0362586937125713,0.166140989662346,0.0816570573082381,25,0.0774148908190919,86.72,0.23015873015873,0.951142857142857,Metabolism,Equilibrium
Aerobic respiration and respiratory electron transport,-0.0224909667422857,-0.00870528186443979,0.386281302033542,0.00377428473838537,201,0.0503419968361402,170.28855721393,0.0998463901689708,1.09929816513761,Metabolism,Equilibrium
Aggrephagy,0.0182867620143099,0.0845178802097756,0.0439755186990716,0.10798218347793,38,0.106585530586198,421.763157894737,0.227642276422764,0.735390243902439,Other,Equilibrium
Amine ligand-binding receptors,0.0457213598789845,-0.0109139588597557,0.771922146890175,0.0034227721960092,27,0.090153645953273,39.5555555555556,0.012012012012012,1.002,Signal Transduction,Equilibrium
Amino acid transport across the plasma membrane,-0.0345067552726467,-0.0173219437912793,0.178112853120128,0.0661196016593134,29,0.0319774102806667,116.275862068966,0.0342741935483871,0.772,Transport & Vesicles,Equilibrium
Amino acids regulate mTORC1,0.000940284570289558,0.00755196992726952,0.757813149096597,0.00204256452724574,49,0.068505882158257,111.183673469388,0.210196078431373,0.707392156862745,Signal Transduction,Equilibrium
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,-0.00477105624606656,0.0923806703259731,0.00095451137457537,0.121155035005809,87,0.0736559306097542,208.333333333333,0.127590511860175,0.652733333333333,Cell Cycle & DNA,Equilibrium
Amplification of signal from the kinetochores,-0.00477105624606656,0.0923806703259731,0.00095451137457537,0.121155035005809,87,0.0736559306097542,208.333333333333,0.127590511860175,0.652733333333333,Cell Cycle & DNA,Equilibrium
Amyloid fiber formation,0.0150509029228687,0.0453199533394888,0.122318230358215,0.0480280409900756,51,0.0853053642398385,216.196078431373,0.0558069381598793,0.87168,Other,Equilibrium
Anchoring of the basal body to the plasma membrane,-0.000370675671127993,0.0833319069365476,0.00594017514877344,0.0919041684333602,81,0.0818204986747683,270.975308641975,0.164950812171128,0.70889010989011,Other,Equilibrium
Anti-inflammatory response favouring Leishmania parasite infection,0.0278313602960523,0.0450606579627657,0.0250819235775823,0.0706347828484842,71,0.0955665319508671,148.323943661972,0.0287893700787402,0.753346666666667,Other,Equilibrium
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",-0.0183313630733364,0.01063317498574,0.810629247581761,0.00243964914601917,26,0.0635923533201916,292.230769230769,0.248275862068966,0.674862068965517,Immune System,Equilibrium
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.0657058608331614,-0.00870299249892528,0.834317803924698,0.00158940974676874,30,0.140481657296036,204.566666666667,0.02997002997003,0.423933333333333,Immune System,Equilibrium
Antigen processing-Cross presentation,0.0249339203994055,0.0516088877755489,0.0400408556886265,0.0481137130186163,88,0.104876201783486,249.284090909091,0.18213058419244,0.714378947368421,Immune System,Equilibrium
"Antigen processing: Ub, ATP-independent proteasomal degradation",0.0474675864654557,0.158754018502964,0.21254828566226,0.0898222693304921,19,0.133243778858248,264.315789473684,0.970760233918129,0.512263157894737,Immune System,Equilibrium
Antigen processing: Ubiquitination & Proteasome degradation,0.0226852245770175,0.0267716867215464,0.0463008089591834,0.0150692438857518,264,0.0999025706122784,248.075757575758,0.0738658208381392,0.628885813148789,Immune System,Equilibrium
Antimicrobial mechanism of IFN-stimulated genes,0.0169743255600763,0.0599323383327075,0.00405382116009596,0.0591339698248155,138,0.10069354486388,336.478260869565,0.096031357177854,0.638225806451613,Immune System,Equilibrium
Antimicrobial peptides,-0.0166744650889729,-0.0178893784040451,0.0524584948025134,0.0575058483471881,66,0.0280088226223213,45.7878787878788,0.00709876543209877,1.58004938271605,Immune System,Equilibrium
Apoptosis,0.0257435020646448,0.0347288784937473,0.0421582577810678,0.0272394163017054,152,0.108552333851773,323.388157894737,0.118895966029724,0.578296774193548,Other,Equilibrium
Apoptotic cleavage of cellular proteins,-0.00712894718768531,0.0295389036449851,0.334049192078168,0.0266813104621931,37,0.0766427648062458,323.027027027027,0.139402560455192,0.485027027027027,Other,Equilibrium
Apoptotic execution phase,0.00194942225830075,0.0487330480020494,0.100784380086265,0.0613930190523092,45,0.0857402706337505,317.333333333333,0.119806763285024,0.491933333333333,Other,Equilibrium
Apoptotic factor-mediated response,-0.0356749585406328,0.0255850897617996,0.424075816415382,0.043081243727078,17,0.040452409529793,196.705882352941,0.169934640522876,0.965,Other,Equilibrium
Aquaporin-mediated transport,0.00693239932409748,0.0122423718801225,0.509661908646368,0.00930551740330448,49,0.0697475700468079,116.020408163265,0.0807843137254902,0.911607843137255,Transport & Vesicles,Equilibrium
Arachidonate metabolism,-0.0192117096140992,-0.0140939609660033,0.462638789294573,0.0120495748038918,47,0.0326617861894145,53.5106382978723,0.0075187969924812,1.18447368421053,Metabolism,Equilibrium
Aspirin ADME,-0.0301551614656773,-0.0178158144661524,0.00260027942690326,0.257084289208843,33,0.0109826139486837,57.6060606060606,0.017718715393134,1.30352272727273,Other,Equilibrium
Assembly Of The HIV Virion,0.025306578940755,0.00887361362904026,0.859252830373458,0.00251036181023521,15,0.104531321889135,330.266666666667,0.3,0.657625,Other,Equilibrium
Assembly and cell surface presentation of NMDA receptors,0.0182503314734948,-0.0219179725044587,0.566910328238857,0.00945764268913789,37,0.092266519557767,181.432432432432,0.152823920265781,0.585,Other,Equilibrium
Assembly of active LPL and LIPC lipase complexes,-0.0130430421710454,0.0544862900658392,0.296587108057895,0.0723267168909953,17,0.0428482243931631,52.764705882353,0.0392156862745098,1.02983333333333,Transport & Vesicles,Equilibrium
Assembly of collagen fibrils and other multimeric structures,-0.0121749780802427,-0.0281893473417821,0.16556113627976,0.0396657410206329,50,0.0463760175755978,71.82,0.0306010928961749,0.634655737704918,Other,Equilibrium
Assembly of the pre-replicative complex,0.0403500672198589,0.0850166642697536,0.05023430540203,0.0568450347151549,68,0.126721076045688,319.352941176471,0.327073552425665,0.524472222222222,Cell Cycle & DNA,Equilibrium
Association of TriC/CCT with target proteins during biosynthesis,0.0419934048316141,0.0770363486237807,0.0365938792155822,0.125758216732277,35,0.12458317103501,359.571428571429,0.201201201201201,0.534324324324324,Other,Equilibrium
Asymmetric localization of PCP proteins,0.0721278356277967,-0.0288998399297016,0.471475694985541,0.011583555181431,47,0.157666707216104,332.446808510638,0.462857142857143,0.3946,Signal Transduction,Equilibrium
Attachment and Entry_9694614,0.0270875535235796,0.080136201547061,0.0963577441099173,0.154153442043486,19,0.101375155727872,248.421052631579,0.0701754385964912,0.601526315789474,Other,Equilibrium
Attachment of bacteria to epithelial cells,-0.00827759842542523,-0.0209814445080793,0.656191232727202,0.0106513178554453,21,0.052449898678687,90.7142857142857,0.0197628458498024,0.567739130434783,Other,Equilibrium
Attenuation phase,0.0168430632149028,0.0513451946291305,0.394775166126204,0.0383717397438809,21,0.105745467024034,525.476190476191,0.238095238095238,0.872392857142857,Signal Transduction,Equilibrium
Autodegradation of Cdh1 by Cdh1:APC/C,0.0701217655899134,0.0535080594372989,0.377271262478247,0.016624094309527,49,0.15847706618844,345.122448979592,0.510159651669086,0.449698113207547,Cell Cycle & DNA,Equilibrium
Autodegradation of the E3 ubiquitin ligase COP1,0.0721393897512335,-0.0802389732864191,0.415388005115433,0.0196034050334227,36,0.165183361084275,449.972222222222,0.836336336336336,0.381783783783784,Cell Cycle & DNA,Decoupled
Autophagy,0.0220045097116458,0.0444460663045445,0.00836830731782943,0.0476201711210874,145,0.102933339072044,301.048275862069,0.0931732810713702,0.718764705882353,Other,Equilibrium
Azathioprine ADME,-0.0270092123518302,0.00054299687959459,0.981581836395646,2.59896940011168e-05,23,0.0389519559351843,134,0.0513833992094862,0.925956521739131,Other,Equilibrium
B-WICH complex positively regulates rRNA expression,0.00856922561123106,0.190687743168602,0.00757965622635579,0.25235293302125,27,0.0951416570153123,331.851851851852,0.32010582010582,0.747785714285714,Other,Equilibrium
