pathway,reactome_id,n_genes,n_in_network,n_edges,density,mean_loeuf,loeuf_variance,insularity,root_category,super_pathway,log_density,predicted_loeuf,residual,regime
2-LTR circle formation,R-HSA-164843,13,7,12,0.571428571428571,0.558285714285714,0.136268904761905,0.00948241801659423,Disease,Other,-0.243038048686294,0.599734767696443,-0.0414490534107287,Equilibrium
ABC transporter disorders,R-HSA-5619084,65,64,671,0.332837301587302,0.567765625,0.155095642609127,0.0692895497728212,Disease,Other,-0.477768007604496,0.630078967473618,-0.0623133424736179,Equilibrium
ABC transporters in lipid homeostasis,R-HSA-1369062,18,18,13,0.0849673202614379,0.784388888888889,0.145307428104575,0.0218671152228764,Transport of small molecules,Transport & Vesicles,-1.07074807851076,0.706735163463213,0.0776537254256764,Equilibrium
ABC-family proteins mediated transport,R-HSA-382556,90,89,725,0.185137895812053,0.606011235955056,0.147296488508682,0.0662433185618347,Transport of small molecules,Transport & Vesicles,-0.732504676560107,0.663009490739525,-0.0569982547844685,Equilibrium
ADORA2B mediated anti-inflammatory cytokines production,R-HSA-9660821,43,43,139,0.153931339977852,0.815928571428571,0.298290994773519,0.0591237771161208,Disease,Other,-0.812672950059411,0.673373068180024,0.142555503248547,Equilibrium
ADP signalling through P2Y purinoceptor 1,R-HSA-418592,25,25,81,0.27,1.05832,0.332038476666667,0.0590379008746356,Hemostasis,Other,-0.568636235841013,0.641825758056782,0.416494241943218,Equilibrium
ADP signalling through P2Y purinoceptor 12,R-HSA-392170,22,22,95,0.411255411255411,1.14831818181818,0.286150036796537,0.0831509846827133,Hemostasis,Other,-0.385888374603297,0.618201429761385,0.530116752056797,Equilibrium
AKT phosphorylates targets in the cytosol,R-HSA-198323,14,14,24,0.263736263736264,0.536928571428572,0.221487302197802,0.0121028744326778,Signal Transduction,Signal Transduction,-0.578830150609488,0.643143553994172,-0.1062149825656,Equilibrium
AKT phosphorylates targets in the nucleus,R-HSA-198693,10,10,13,0.288888888888889,0.4739,0.165783877777778,0.0130325814536341,Signal Transduction,Signal Transduction,-0.539269161468507,0.638029394031766,-0.164129394031766,Equilibrium
ALK mutants bind TKIs,R-HSA-9700645,12,12,6,0.0909090909090909,0.321166666666667,0.0298465151515152,0.00253164556962025,Disease,Other,-1.04139268515822,0.702940309476392,-0.381773642809725,Equilibrium
AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),R-HSA-9931269,55,54,663,0.463312368972746,0.490962962962963,0.116836111809923,0.0709812108559499,Immune System,Immune System,-0.334126105355003,0.611509976117253,-0.12054701315429,Equilibrium
APC truncation mutants have impaired AXIN binding,R-HSA-5467337,14,14,44,0.483516483516484,0.351071428571429,0.053993456043956,0.0242491044364839,Disease,Other,-0.315588715834906,0.609113595810548,-0.25804216723912,Equilibrium
APC-Cdc20 mediated degradation of Nek2A,R-HSA-179409,26,26,171,0.526153846153846,0.674538461538462,0.112131218461538,0.0518260342476133,Cell Cycle,Cell Cycle & DNA,-0.278887250586721,0.604369094517494,0.0701693670209677,Equilibrium
APC/C-mediated degradation of cell cycle proteins,R-HSA-174143,75,74,1031,0.381710477600889,0.475135135135135,0.101718556830803,0.0808976421201303,Cell Cycle,Cell Cycle & DNA,-0.418265918903934,0.622386965672867,-0.147251830537732,Equilibrium
APC/C:Cdc20 mediated degradation of Cyclin B,R-HSA-174048,24,24,132,0.478260869565217,0.647708333333333,0.124180650362319,0.0400363967242948,Cell Cycle,Cell Cycle & DNA,-0.320335150859368,0.609727180771222,0.0379811525621119,Equilibrium
APC/C:Cdc20 mediated degradation of Securin,R-HSA-174154,55,54,680,0.475192173305381,0.479833333333333,0.117763877358491,0.0813883901855177,Cell Cycle,Cell Cycle & DNA,-0.32313072105354,0.610088571966679,-0.130255238633345,Equilibrium
APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-176409,63,62,774,0.409307244843998,0.487548387096774,0.111700218931782,0.0838161243164221,Cell Cycle,Cell Cycle & DNA,-0.387950568162147,0.618468015303415,-0.130919628206641,Equilibrium
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,R-HSA-174178,61,60,806,0.455367231638418,0.46625,0.111394190677966,0.07794217193695,Cell Cycle,Cell Cycle & DNA,-0.341638224556716,0.6124810888242,-0.1462310888242,Equilibrium
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,R-HSA-179419,61,60,755,0.426553672316384,0.471133333333333,0.100695032768362,0.0830583058305831,Cell Cycle,Cell Cycle & DNA,-0.370026314732618,0.616150896817863,-0.145017563484529,Equilibrium
APOBEC3G mediated resistance to HIV-1 infection,R-HSA-180689,11,5,4,0.4,0.8056,0.2834873,0.00464576074332172,Disease,Other,-0.397940008672038,0.619759378280222,0.185840621719778,Equilibrium
ATF4 activates genes in response to endoplasmic reticulum  stress,R-HSA-380994,27,27,70,0.199430199430199,0.912384615384615,0.143032486153846,0.0304546443332608,Cellular responses to stimuli,Signal Transduction,-0.700209076451567,0.658834547983458,0.253550067401157,Equilibrium
ATF6 (ATF6-alpha) activates chaperone genes,R-HSA-381183,10,10,14,0.311111111111111,0.6456,0.0925431555555556,0.00844900422450211,Cellular responses to stimuli,Signal Transduction,-0.507084478097106,0.633868789793228,0.0117312102067717,Equilibrium
ATF6 (ATF6-alpha) activates chaperones,R-HSA-381033,12,12,15,0.227272727272727,0.601166666666667,0.0944281515151515,0.00883652430044183,Cellular responses to stimuli,Signal Transduction,-0.643452676486187,0.651497489062135,-0.050330822395468,Equilibrium
ATP-dependent chromatin remodelers,R-HSA-9932444,31,29,325,0.800492610837438,0.332413793103448,0.0489397512315271,0.0933908045977011,Chromatin organization,Other,-0.0966426725983198,0.580809827058524,-0.248396033955076,Topology-Amplified
AUF1 (hnRNP D0) binds and destabilizes mRNA,R-HSA-450408,42,41,631,0.769512195121951,0.411756097560976,0.14792488902439,0.0628736548425668,Metabolism of RNA,Other,-0.113784493139582,0.583025798251318,-0.171269700690343,Equilibrium
