pathway,reactome_id,n_genes,density,mean_loeuf,loeuf_variance,insularity,super_pathway,mean_paralog,mean_cds_length,clustering_score,mean_pubmed,regime,residual,mean_tau,mean_pli,complex_fraction
Deadenylation of mRNA,R-HSA-429947,25,0.367965367965368,0.252681818181818,0.0256293701298701,0.0346091205211726,Other,6.84,2417.76,0,101.227272727273,Topology-Amplified,0.149732195718903,0.245484657871157,0.807446683181818,0.28
M-decay: degradation of maternal mRNAs by maternally stored factors,R-HSA-9820841,46,0.136363636363636,0.412883720930233,0.136927200442968,0.0267329810382344,Other,7.52173913043478,2358.84782608696,0,84.9545454545455,Topology-Amplified,0.119083343007326,0.395535661768054,0.666433717280163,0.282608695652174
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,R-HSA-210744,16,0.258333333333333,0.4595625,0.298834929166667,0.0150888293988805,Other,4.375,3092.625,0,146.125,Equilibrium,0.118579011429508,0.443608068319945,0.77628424131875,0.6875
Formation of the embryonic stem cell BAF (esBAF) complex,R-HSA-9933946,19,0.777777777777778,0.342052631578947,0.0550196081871345,0.0538461538461539,Other,8.89473684210526,2109.15789473684,0,119.894736842105,Topology-Amplified,0.117228267563809,0.280412474864628,0.706854299631579,0.631578947368421
Regulation of MITF-M-dependent genes involved in apoptosis,R-HSA-9824594,19,0.228758169934641,0.474777777777778,0.248085477124183,0.0108225108225108,Other,5.31578947368421,2894,0.0196078431372549,123,Topology-Amplified,0.115385272523856,0.430010311203354,0.727399089446667,0.368421052631579
Formation of the beta-catenin:TCF transactivating complex,R-HSA-201722,62,0.268939393939394,0.278151515151515,0.0425679450757576,0.0197840473702543,Signal Transduction,13.4677419354839,1700.85483870968,0.00189393939393939,179.424242424242,Equilibrium,0.114222440413978,0.352519172856892,0.81687355649394,0.403225806451613
Regulation of RUNX1 Expression and Activity,R-HSA-8934593,27,0.154150197628459,0.242176470588235,0.0134290294117647,0.0101141078838174,Other,10.8461538461538,2509.76470588235,0.0220588235294118,95.3913043478261,Decoupled,0.112054936798042,0.372615269871581,0.910305294117647,0.444444444444444
WNT5A-dependent internalization of FZD4,R-HSA-5099900,15,0.428571428571429,0.3034,0.0338996857142857,0.0210133084286715,Signal Transduction,6.33333333333333,1964.4,0,123.666666666667,Decoupled,0.108145022535432,0.3551633538742,0.794091571733333,0.266666666666667
Formation of the canonical BAF (cBAF) complex,R-HSA-9933937,18,0.96078431372549,0.307444444444444,0.0513553202614379,0.0608695652173913,Other,9.77777777777778,2347.66666666667,0,119.611111111111,Topology-Amplified,0.10505201630085,0.305158155180164,0.781096111111111,0.666666666666667
"Respiratory syncytial virus (RSV) genome replication, transcription and translation",R-HSA-9820965,30,0.345588235294118,0.369529411764706,0.0867548897058823,0.00832374037014079,Other,4.47058823529412,1400.82352941176,0,241.470588235294,Equilibrium,0.1047115780285,0.216245312854245,0.834920070588235,0.366666666666667
SUMOylation of transcription cofactors,R-HSA-3899300,44,0.234772978959025,0.29102380952381,0.045351487224158,0.0313771923333087,Other,9.43181818181818,2448.95454545455,0.00464576074332172,163.604651162791,Topology-Amplified,0.102266334951045,0.275687305286406,0.869647871683333,0.75
Synthesis of active ubiquitin: roles of E1 and E2 enzymes,R-HSA-8866652,30,0.291954022988506,0.584724137931035,0.13581713546798,0.0256229193987693,Other,21.9666666666667,1245.2,0,181.166666666667,Equilibrium,0.100179162257114,0.245735287180659,0.561374680123676,0.233333333333333
Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF),R-HSA-9934037,25,0.786666666666667,0.3454,0.0511395,0.0806286299965835,Other,9.84,2279.76,0,104,Topology-Amplified,0.0997129579642071,0.341586528702078,0.69695184652,0.6
