pathway,original_regime,n_genes,mean_residual,deviation_kappa,stability,n_influential,influential_genes,mr_range,dk_range
ABC transporter disorders,Equilibrium,58,0.0422138202288509,0.0628704057813749,1,0,"",0.0080924954551464,0.020189829403785
ABC-family proteins mediated transport,Equilibrium,75,0.0264462735985758,0.0558021777642756,1,0,"",0.00623340866139655,0.0152106097065104
ADORA2B mediated anti-inflammatory cytokines production,Equilibrium,41,0.0229225279957167,0.0189203979022291,1,0,"",0.00814511022516979,0.0298358166755754
ADP signalling through P2Y purinoceptor 1,Equilibrium,24,0.0295906441643131,0.084769582425902,1,0,"",0.0124981831199926,0.0241985312211227
ADP signalling through P2Y purinoceptor 12,Equilibrium,21,0.00780238450844353,0.0513766921039334,1,0,"",0.0115441735968918,0.0349297078677885
AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),Equilibrium,52,0.0436404973478371,0.125339229268035,1,0,"",0.00904455374398715,0.0801538778618596
APC-Cdc20 mediated degradation of Nek2A,Equilibrium,23,0.0126193392246256,-0.0155418639963995,1,0,"",0.0151276938060911,0.0567523484753526
APC/C-mediated degradation of cell cycle proteins,Equilibrium,70,0.0529375603761782,0.0573735545703244,1,0,"",0.00676798475790601,0.0305488322725661
APC/C:Cdc20 mediated degradation of Cyclin B,Equilibrium,21,0.0318744015250986,0.0127116837953175,1,0,"",0.0166404631867002,0.0976848705179171
APC/C:Cdc20 mediated degradation of Securin,Equilibrium,50,0.063137097615021,0.0599838016828815,1,0,"",0.0094137192029254,0.0617664832506996
APC/C:Cdc20 mediated degradation of mitotic proteins,Equilibrium,58,0.0556679730708891,0.0879080108862385,1,0,"",0.0080924954551464,0.0563578583435942
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,Equilibrium,56,0.0660150459919422,0.0546225014295633,1,0,"",0.0084907445144639,0.0448503679588342
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,Equilibrium,56,0.059516314777865,0.079834083345169,1,0,"",0.00838676801715172,0.0603684420100269
ATF4 activates genes in response to endoplasmic reticulum  stress,Equilibrium,24,-0.0229306678675215,-0.00979460440015868,0.958333333333333,1,KHSRP,0.0154619045288009,0.174818665884828
ATP-dependent chromatin remodelers,Topology-Amplified,29,0.0923502839148408,0.188078950043395,1,0,"",0.0174301318118143,0.0921967018245654
AUF1 (hnRNP D0) binds and destabilizes mRNA,Equilibrium,39,0.0916673850818286,-0.0165525140362296,0.923076923076923,3,HSPA8;PABPC1;PSMD3,0.0169516799108108,0.107637018376057
AURKA Activation by TPX2,Equilibrium,61,0.00799182940705017,0.1159950606338,1,0,"",0.00692132639989739,0.032300365705213
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,Decoupled,16,0.0738550364485855,-0.0486702161834723,0.5,8,CCND1;CCND2;CCND3;CDK2;CDKN1A;CDKN1B;E2F3;RB1,0.0200401024137956,0.0834641894071486
Aberrant regulation of mitotic cell cycle due to RB1 defects,Equilibrium,32,0.0626398992372118,0.019962974419404,1,0,"",0.0106321617343471,0.0366848046751858
Aberrant regulation of mitotic exit in cancer due to RB1 defects,Equilibrium,17,0.0619221157498165,0.149943461889122,0.705882352941177,5,ANAPC10;ANAPC16;ANAPC4;ANAPC5;CDC16,0.0203657051411313,0.0783946419260116
Abortive elongation of HIV-1 transcript in the absence of Tat,Equilibrium,22,-0.0011909791878934,0.189561401996446,1,0,"",0.013808668501694,0.087708093661617
Acetylcholine Neurotransmitter Release Cycle,Topology-Amplified,16,0.0688709778867343,0.103979674054351,0.5625,7,CPLX1;PPFIA1;PPFIA3;RAB3A;SNAP25;STXBP1;VAMP2,0.0195967841224449,0.0329224860336987
Activated NOTCH1 Transmits Signal to the Nucleus,Equilibrium,26,0.0385478590895031,-0.029487083756778,1,0,"",0.0164435609509659,0.0350986929073104
Activation of AMPK downstream of NMDARs,Equilibrium,24,-0.021372712463733,0.0586046241273027,1,0,"",0.0129550961115302,0.0405002129125341
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,Equilibrium,59,0.0576100832004823,0.0948348628060378,1,0,"",0.00795296967143697,0.0530118703922225
Activation of ATR in response to replication stress,Equilibrium,37,-0.0524248182164447,-0.0242967271630139,1,0,"",0.00700662631698499,0.0230498090643562
Activation of BAD and translocation to mitochondria,Equilibrium,15,0.0489493476254039,-0.0215086192789819,1,0,"",0.0259188010388123,0.0726812378133202
Activation of BH3-only proteins,Equilibrium,29,0.0493770918358239,-0.0284321960322957,1,0,"",0.0129594005194061,0.0370676385929848
Activation of G protein gated Potassium channels,Equilibrium,27,0.039803868621147,0.0133352981418038,1,0,"",0.0108427785647142,0.0270085310827259
Activation of GABAB receptors,Equilibrium,40,0.0320374125744089,-0.0175712257863737,1,0,"",0.00748289049811733,0.0204090174045187
Activation of HOX genes during differentiation,Equilibrium,61,0.0480773406077052,0.054307326989573,1,0,"",0.0116802159750791,0.0276732383197405
"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",Equilibrium,18,-0.0126801073719174,0.0253784251576455,1,0,"",0.0160698942995122,0.0293127542616226
Activation of Matrix Metalloproteinases,Equilibrium,25,-9.68984062373206e-05,0.0169724805129086,1,0,"",0.0157683559781055,0.0466146225671092
Activation of NF-kappaB in B cells,Equilibrium,51,0.0637254497925046,0.0452914446856556,1,0,"",0.00922544481886689,0.0432730533779996
Activation of NMDA receptors and postsynaptic events,Equilibrium,84,0.0155357930265935,-0.0174138192631657,1,0,"",0.00608198241549525,0.0153332026014995
Activation of SMO,Equilibrium,16,0.00836369410593279,-0.0112105538457741,1,0,"",0.0198872014554032,0.0393578792862037
Activation of anterior HOX genes in hindbrain development during early embryogenesis,Equilibrium,61,0.0480773406077052,0.054307326989573,1,0,"",0.0116802159750791,0.0276732383197405
