percentile,Buffered,Equilibrium,Decoupled,Topology-Amplified,total_outlier
0.75,128,966,62,124,314
0.76,120,988,57,115,292
0.77,106,1014,53,107,266
0.78,97,1039,43,101,241
0.79,89,1055,40,96,225
0.8,83,1073,37,87,207
0.81,74,1090,34,82,190
0.82,65,1111,30,74,169
0.83,55,1130,29,66,150
0.84,44,1153,27,56,127
0.85,36,1169,25,50,111
0.86,30,1180,24,46,100
0.87,24,1193,20,43,87
0.88,22,1202,18,38,78
0.89,20,1209,15,36,71
0.9,17,1219,13,31,61
0.91,14,1230,12,24,50
0.92,10,1242,8,20,38
0.93,10,1246,4,20,34
0.94,8,1252,4,16,28
0.95,7,1257,2,14,23
