pathway,reactome_id,regime,n_genes,cluster_id,cluster_size,is_cluster_representative
Complex I biogenesis,R-HSA-6799198,Buffered,68,Buffered_1,1,TRUE
DNA strand elongation,R-HSA-69190,Buffered,32,Buffered_2,6,FALSE
Digestion and absorption,R-HSA-8963743,Buffered,28,Buffered_3,1,TRUE
Lagging Strand Synthesis,R-HSA-69186,Buffered,20,Buffered_2,6,FALSE
Metabolism of porphyrins,R-HSA-189445,Buffered,28,Buffered_4,1,TRUE
Mitochondrial ribosome-associated quality control,R-HSA-9937383,Buffered,114,Buffered_5,5,FALSE
Mitochondrial tRNA aminoacylation,R-HSA-379726,Buffered,21,Buffered_6,2,FALSE
Mitochondrial translation,R-HSA-5368287,Buffered,137,Buffered_5,5,TRUE
Mitochondrial translation elongation,R-HSA-5389840,Buffered,104,Buffered_5,5,FALSE
Mitochondrial translation initiation,R-HSA-5368286,Buffered,104,Buffered_5,5,FALSE
Mitochondrial translation termination,R-HSA-5419276,Buffered,105,Buffered_5,5,FALSE
Polymerase switching on the C-strand of the telomere,R-HSA-174411,Buffered,26,Buffered_2,6,FALSE
Processive synthesis on the C-strand of the telomere,R-HSA-174414,Buffered,19,Buffered_2,6,FALSE
Removal of the Flap Intermediate from the C-strand,R-HSA-174437,Buffered,17,Buffered_2,6,FALSE
Telomere C-strand (Lagging Strand) Synthesis,R-HSA-174417,Buffered,34,Buffered_2,6,TRUE
Translesion synthesis by REV1,R-HSA-110312,Buffered,16,Buffered_7,1,TRUE
tRNA Aminoacylation,R-HSA-379724,Buffered,42,Buffered_6,2,TRUE
ABC transporter disorders,R-HSA-5619084,Equilibrium,65,Equilibrium_1,87,FALSE
ABC-family proteins mediated transport,R-HSA-382556,Equilibrium,90,Equilibrium_1,87,FALSE
ADORA2B mediated anti-inflammatory cytokines production,R-HSA-9660821,Equilibrium,43,Equilibrium_2,43,FALSE
ADP signalling through P2Y purinoceptor 1,R-HSA-418592,Equilibrium,25,Equilibrium_2,43,FALSE
ADP signalling through P2Y purinoceptor 12,R-HSA-392170,Equilibrium,22,Equilibrium_2,43,FALSE
AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),R-HSA-9931269,Equilibrium,55,Equilibrium_1,87,FALSE
APC-Cdc20 mediated degradation of Nek2A,R-HSA-179409,Equilibrium,26,Equilibrium_3,9,FALSE
APC/C-mediated degradation of cell cycle proteins,R-HSA-174143,Equilibrium,75,Equilibrium_1,87,FALSE
APC/C:Cdc20 mediated degradation of Cyclin B,R-HSA-174048,Equilibrium,24,Equilibrium_3,9,FALSE
APC/C:Cdc20 mediated degradation of Securin,R-HSA-174154,Equilibrium,55,Equilibrium_1,87,FALSE
APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-176409,Equilibrium,63,Equilibrium_1,87,FALSE
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,R-HSA-174178,Equilibrium,61,Equilibrium_1,87,FALSE
