pathway,mean_residual_string,deviation_kappa_string,regime_string,mean_residual_biogrid,deviation_kappa_biogrid,regime_biogrid
ABC transporter disorders,0.0354983524694983,0.045546936096188,Equilibrium,0.0422138202288509,0.0628704057813749,Equilibrium
ABC-family proteins mediated transport,0.0214188128672184,0.0442865980175767,Equilibrium,0.0264462735985758,0.0558021777642756,Equilibrium
ADORA2B mediated anti-inflammatory cytokines production,0.0100486817482476,0.0175437820182199,Equilibrium,0.0229225279957167,0.0189203979022291,Equilibrium
ADP signalling through P2Y purinoceptor 1,0.00845920206065079,0.0595193053262415,Equilibrium,0.0295906441643131,0.084769582425902,Equilibrium
ADP signalling through P2Y purinoceptor 12,-0.0133031036187166,0.0303034296306703,Equilibrium,0.00780238450844353,0.0513766921039334,Equilibrium
AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),0.036257494387773,0.0669698108334938,Equilibrium,0.0436404973478371,0.125339229268035,Equilibrium
APC-Cdc20 mediated degradation of Nek2A,-0.00331344940313599,-0.0459217865455431,Equilibrium,0.0126193392246256,-0.0155418639963995,Equilibrium
APC/C-mediated degradation of cell cycle proteins,0.0425387258964932,-0.00463569359789317,Equilibrium,0.0529375603761782,0.0573735545703244,Equilibrium
APC/C:Cdc20 mediated degradation of Cyclin B,0.0153538988848411,-0.0461250538606344,Equilibrium,0.0318744015250986,0.0127116837953175,Equilibrium
APC/C:Cdc20 mediated degradation of Securin,0.0519113041622123,-0.0352844293960806,Equilibrium,0.063137097615021,0.0599838016828815,Equilibrium
APC/C:Cdc20 mediated degradation of mitotic proteins,0.0444543731316763,-0.00382381043139592,Equilibrium,0.0556679730708891,0.0879080108862385,Equilibrium
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,0.0558129533747117,-0.0289001231492794,Equilibrium,0.0660150459919422,0.0546225014295633,Equilibrium
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,0.0481723750649101,-0.0196117454106615,Equilibrium,0.059516314777865,0.079834083345169,Equilibrium
ATF4 activates genes in response to endoplasmic reticulum  stress,-0.0332932248655577,-0.082776505765115,Buffered,-0.0229306678675215,-0.00979460440015868,Equilibrium
ATP-dependent chromatin remodelers,0.0833206752839712,0.112362173965101,Topology-Amplified,0.0923502839148408,0.188078950043395,Topology-Amplified
AUF1 (hnRNP D0) binds and destabilizes mRNA,0.0829229538812674,-0.102953304743383,Decoupled,0.0916673850818286,-0.0165525140362296,Equilibrium
AURKA Activation by TPX2,0.010171574323491,0.0992912760233082,Equilibrium,0.00799182940705017,0.1159950606338,Equilibrium
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,0.0638329810919241,-0.0668270205479984,Decoupled,0.0738550364485855,-0.0486702161834723,Decoupled
Aberrant regulation of mitotic cell cycle due to RB1 defects,0.0517032348479896,-0.0415803563405825,Equilibrium,0.0626398992372118,0.019962974419404,Equilibrium
Aberrant regulation of mitotic exit in cancer due to RB1 defects,0.049938930154359,0.0652514489502647,Equilibrium,0.0619221157498165,0.149943461889122,Equilibrium
Abortive elongation of HIV-1 transcript in the absence of Tat,-0.0268062458803039,0.0165768985627302,Equilibrium,-0.0011909791878934,0.189561401996446,Equilibrium
Activated NOTCH1 Transmits Signal to the Nucleus,0.0404139004814394,-0.0448779553385494,Equilibrium,0.0385478590895031,-0.029487083756778,Equilibrium
Activation of AMPK downstream of NMDARs,-0.0291331333014771,0.111981778245983,Equilibrium,-0.021372712463733,0.0586046241273027,Equilibrium
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,0.0465955224674047,-0.000236046743367114,Equilibrium,0.0576100832004823,0.0948348628060378,Equilibrium
Activation of ATR in response to replication stress,-0.0602682171545276,0.000534027815693599,Equilibrium,-0.0524248182164447,-0.0242967271630139,Equilibrium
Activation of BAD and translocation to mitochondria,0.0435455089350128,-0.0328908517030075,Equilibrium,0.0489493476254039,-0.0215086192789819,Equilibrium
Activation of BH3-only proteins,0.0443268065138896,-0.00959702472731644,Equilibrium,0.0493770918358239,-0.0284321960322957,Equilibrium
Activation of G protein gated Potassium channels,0.0260691395325268,-0.043747333350661,Equilibrium,0.039803868621147,0.0133352981418038,Equilibrium
Activation of GABAB receptors,0.0189796778289694,-0.0321607185881337,Equilibrium,0.0320374125744089,-0.0175712257863737,Equilibrium
Activation of HOX genes during differentiation,0.0366648502584689,-0.00474892660118618,Equilibrium,0.0480773406077052,0.054307326989573,Equilibrium
"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",-0.0270440349244613,0.00657520609040573,Equilibrium,-0.0126801073719174,0.0253784251576455,Equilibrium
Activation of Matrix Metalloproteinases,-0.00278074373344235,-0.0644879601765322,Equilibrium,-9.68984062373206e-05,0.0169724805129086,Equilibrium
Activation of NF-kappaB in B cells,0.0538684369713683,-0.0381271242074936,Equilibrium,0.0637254497925046,0.0452914446856556,Equilibrium
Activation of NMDA receptors and postsynaptic events,0.010175001934718,-0.0172442964731861,Equilibrium,0.0155357930265935,-0.0174138192631657,Equilibrium
Activation of anterior HOX genes in hindbrain development during early embryogenesis,0.0366648502584689,-0.00474892660118618,Equilibrium,0.0480773406077052,0.054307326989573,Equilibrium
Activation of gene expression by SREBF (SREBP),0.0413709040642794,0.10794387879163,Equilibrium,0.0464877812152655,0.15695250810593,Equilibrium
Activation of kainate receptors upon glutamate binding,0.0200337716787202,0.00574222659412508,Equilibrium,0.0327267474561469,0.0501966069053819,Equilibrium
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.0703286830237398,-0.0181191845411816,Equilibrium,0.0926556243373283,0.13473326141778,Topology-Amplified
Activation of the pre-replicative complex,-0.0483061317992958,-0.00434966025427591,Equilibrium,-0.0406268376320113,-0.0301111381466923,Equilibrium
Adherens junctions interactions,0.0539099559359246,0.0126695679250553,Equilibrium,0.056961330603208,0.0240757495725727,Equilibrium
Adipogenesis,0.0343312557352654,0.0145250071337132,Equilibrium,0.044955258250678,0.0702197105338176,Equilibrium
"Adrenaline,noradrenaline inhibits insulin secretion",-0.00421536941997757,0.0244750875192207,Equilibrium,0.016216133322021,0.0362586937125713,Equilibrium
Aerobic respiration and respiratory electron transport,-0.0298186439030652,-0.0118397905798379,Equilibrium,-0.0224909667422857,-0.00870528186443979,Equilibrium
Aggrephagy,0.0108709933605127,0.0387216573372315,Equilibrium,0.0182867620143099,0.0845178802097756,Equilibrium
Amine ligand-binding receptors,0.0422115226071532,-0.0252178076471879,Equilibrium,0.0457213598789845,-0.0109139588597557,Equilibrium
Amino acid transport across the plasma membrane,-0.0173718843124461,-0.0206610623092624,Equilibrium,-0.0345067552726467,-0.0173219437912793,Equilibrium
Amino acids regulate mTORC1,-0.0118326911011008,0.0539400404979461,Equilibrium,0.000940284570289558,0.00755196992726952,Equilibrium
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,-0.0113701183755791,0.0473155310046699,Equilibrium,-0.00477105624606656,0.0923806703259731,Equilibrium
Amplification of signal from the kinetochores,-0.0113701183755791,0.0473155310046699,Equilibrium,-0.00477105624606656,0.0923806703259731,Equilibrium
Amyloid fiber formation,0.0137818053097139,0.00795579178821774,Equilibrium,0.0150509029228687,0.0453199533394888,Equilibrium
Anchoring of the basal body to the plasma membrane,0.00354717956180312,0.0779347327909373,Equilibrium,-0.000370675671127993,0.0833319069365476,Equilibrium
Anti-inflammatory response favouring Leishmania parasite infection,0.0205940928027883,0.0267993954254891,Equilibrium,0.0278313602960523,0.0450606579627657,Equilibrium
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",-0.0131693650972719,0.0481751329095002,Equilibrium,-0.0183313630733364,0.01063317498574,Equilibrium
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.0627470312093756,0.00621401488805529,Equilibrium,0.0657058608331614,-0.00870299249892528,Equilibrium
Antigen processing-Cross presentation,0.0189663376255849,0.0303443026775435,Equilibrium,0.0249339203994055,0.0516088877755489,Equilibrium
"Antigen processing: Ub, ATP-independent proteasomal degradation",0.0382876675471667,0.338381214949757,Equilibrium,0.0474675864654557,0.158754018502964,Equilibrium
Antigen processing: Ubiquitination & Proteasome degradation,0.0209547578192637,0.0314414421336386,Equilibrium,0.0226852245770175,0.0267716867215464,Equilibrium
Antimicrobial mechanism of IFN-stimulated genes,0.0105399192852193,0.0396464340946634,Equilibrium,0.0169743255600763,0.0599323383327075,Equilibrium
Antimicrobial peptides,-0.0186306961593636,-0.0334249731685262,Equilibrium,-0.0166744650889729,-0.0178893784040451,Equilibrium
Apoptosis,0.0217477048352404,0.0314075726740876,Equilibrium,0.0257435020646448,0.0347288784937473,Equilibrium
Apoptotic cleavage of cellular proteins,-0.00508324885490057,0.00299221191223915,Equilibrium,-0.00712894718768531,0.0295389036449851,Equilibrium
Apoptotic execution phase,0.00441088201918217,0.0236796749197968,Equilibrium,0.00194942225830075,0.0487330480020494,Equilibrium
Apoptotic factor-mediated response,-0.042713314692603,0.0678917001506449,Equilibrium,-0.0356749585406328,0.0255850897617996,Equilibrium
Aquaporin-mediated transport,-0.00207189013855279,0.0239437471684572,Equilibrium,0.00693239932409748,0.0122423718801225,Equilibrium
Arachidonate metabolism,-0.0225669679193619,-0.0248728791726218,Equilibrium,-0.0192117096140992,-0.0140939609660033,Equilibrium
Aspirin ADME,-0.0376960554818789,-0.0123775175754492,Equilibrium,-0.0301551614656773,-0.0178158144661524,Equilibrium
Assembly Of The HIV Virion,0.0181566919865047,-0.0599577968136323,Equilibrium,0.025306578940755,0.00887361362904026,Equilibrium
Assembly and cell surface presentation of NMDA receptors,0.0113986436611756,-0.0558813901625802,Equilibrium,0.0182503314734948,-0.0219179725044587,Equilibrium
Assembly of active LPL and LIPC lipase complexes,-0.000429734587850224,-0.0569715968793222,Equilibrium,-0.0130430421710454,0.0544862900658392,Equilibrium
Assembly of collagen fibrils and other multimeric structures,-0.00821948324080795,-0.0103194332398775,Equilibrium,-0.0121749780802427,-0.0281893473417821,Equilibrium
Assembly of the pre-replicative complex,0.0293009022402474,0.014078574375916,Equilibrium,0.0403500672198589,0.0850166642697536,Equilibrium
Association of TriC/CCT with target proteins during biosynthesis,0.0404551738645751,0.111489936530442,Equilibrium,0.0419934048316141,0.0770363486237807,Equilibrium
Asymmetric localization of PCP proteins,0.0649908643397043,-0.0307084235525329,Equilibrium,0.0721278356277967,-0.0288998399297016,Equilibrium
Attachment and Entry_9694614,0.0348290508437083,0.0739783052549099,Equilibrium,0.0270875535235796,0.080136201547061,Equilibrium
Attachment of bacteria to epithelial cells,-0.00101658804697581,0.000275415557182797,Equilibrium,-0.00827759842542523,-0.0209814445080793,Equilibrium
Attenuation phase,0.0204493864308624,0.0641261673330855,Equilibrium,0.0168430632149028,0.0513451946291305,Equilibrium
Autodegradation of Cdh1 by Cdh1:APC/C,0.0591592006274482,-0.0578179093118873,Equilibrium,0.0701217655899134,0.0535080594372989,Equilibrium
Autodegradation of the E3 ubiquitin ligase COP1,0.0620266517169734,-0.12702690039906,Decoupled,0.0721393897512335,-0.0802389732864191,Decoupled
Autophagy,0.018898806163294,0.036886371755738,Equilibrium,0.0220045097116458,0.0444460663045445,Equilibrium
Azathioprine ADME,-0.0193121021425471,-0.0156473032475253,Equilibrium,-0.0270092123518302,0.00054299687959459,Equilibrium
B-WICH complex positively regulates rRNA expression,-0.00373566295222914,0.0645873465578331,Equilibrium,0.00856922561123106,0.190687743168602,Equilibrium
BBSome-mediated cargo-targeting to cilium,0.0103545973810836,0.146319048521998,Equilibrium,0.0180242118864072,0.0887918328846605,Equilibrium
"BMAL1:CLOCK,NPAS2 activates circadian expression",0.0859603749025652,0.175328984035881,Topology-Amplified,0.0960760946074415,0.339305979407413,Topology-Amplified
Bacterial Infection Pathways,0.0152130618226008,0.000887673553930281,Equilibrium,0.0154109142647843,0.00859892463474623,Equilibrium
Base Excision Repair,-0.0524353101260298,-0.00937081997954675,Equilibrium,-0.053058299399148,-0.0286290810097093,Equilibrium
Basigin interactions,-0.00896346415374282,0.0166724242437139,Equilibrium,-0.0151756966198678,-0.00566781990370146,Equilibrium
Beta-catenin independent WNT signaling,0.0539570545397081,0.0192591496076848,Equilibrium,0.0610373841417115,0.0234692992014061,Equilibrium
Beta-catenin phosphorylation cascade,0.0079912004459668,0.0589292722167521,Equilibrium,0.0183922775045428,0.0378477790662346,Equilibrium
Bile acid and bile salt metabolism,-0.0286862200157256,0.00934271668160227,Equilibrium,-0.0253964831683288,-0.0119539556639149,Equilibrium
Binding and Uptake of Ligands by Scavenger Receptors,0.011127024033792,0.00311837673657108,Equilibrium,0.00412530389651645,0.00827944814287975,Equilibrium
Biofilm formation,-0.00101658804697581,0.000275415557182797,Equilibrium,-0.00827759842542523,-0.0209814445080793,Equilibrium
Biological oxidations,-0.0295796222998126,-0.0136772798791474,Equilibrium,-0.0240014088315246,-0.00971221618256767,Equilibrium
Biosynthesis of specialized proresolving mediators (SPMs),-0.00695178441323684,-0.0559304284219257,Equilibrium,-0.007270679564097,-0.0200867031247463,Equilibrium
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",-0.0148531515697647,-0.0496146902512434,Equilibrium,-0.0201513189985774,-0.0346081646961489,Equilibrium
Branched-chain amino acid catabolism,-0.0485307228031318,-0.0264952507727297,Equilibrium,-0.0505381453994428,-0.00596556705245472,Equilibrium
Budding and maturation of HIV virion,-0.0028808223135928,-0.0219984046851172,Equilibrium,0.00357366820059405,-0.00420417015449472,Equilibrium
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,-0.0454221556319785,-0.10891617350237,Buffered,-0.0298545186573275,-0.0199964633598703,Equilibrium
C-type lectin receptors (CLRs),0.0453751661783534,0.0456882201803695,Equilibrium,0.0501147302346376,0.0508648625744624,Equilibrium
CD209 (DC-SIGN) signaling,0.0426660674016458,0.104456357336633,Equilibrium,0.045259978958536,0.0700179710397369,Equilibrium
CD28 dependent PI3K/Akt signaling,0.0601604887930253,-0.0355087570936689,Equilibrium,0.0660436300933816,-0.0425936966127912,Equilibrium
CDC42 GTPase cycle,0.00588618847545711,-0.00583501850416106,Equilibrium,0.000933602304136129,-0.0368151439458955,Equilibrium
CDK-mediated phosphorylation and removal of Cdc6,0.0511965787346107,-0.0204615479996075,Equilibrium,0.0625037999398287,0.0686077532598327,Equilibrium
CLEC7A (Dectin-1) signaling,0.0539858826124524,0.024710204948155,Equilibrium,0.0622608767960779,0.0442652101330474,Equilibrium
COPI-dependent Golgi-to-ER retrograde traffic,0.00365697320484473,0.0321923962242729,Equilibrium,0.0040694250995977,0.0409429391327415,Equilibrium
COPI-independent Golgi-to-ER retrograde traffic,0.01900196402194,-0.00531811052238457,Equilibrium,0.0192760548961295,0.0442667034490333,Equilibrium
COPI-mediated anterograde transport,0.0204588272574957,0.029871668238928,Equilibrium,0.0220273632960421,0.0641080781861889,Equilibrium
COPII-mediated vesicle transport,0.0034637907189607,-0.0334572485136237,Equilibrium,0.00395037957526845,-0.0642864138310471,Equilibrium
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,0.0455423929541089,-0.0187871810535602,Equilibrium,0.0479890105386845,-0.0374122015487084,Equilibrium
CRMPs in Sema3A signaling,0.0424044901313385,-0.00892538532232362,Equilibrium,0.0390073504461953,-0.0220597548688764,Equilibrium
CS-GAG biosynthesis,0.00646078942760212,0.0220098530445769,Equilibrium,-0.00298786638486053,-0.0385934687149242,Equilibrium
CS/DS degradation,-0.00835176529346604,0.0592604211501208,Equilibrium,-0.0143413016640693,-0.0396979323815289,Equilibrium
CTNNB1 S33 mutants aren't phosphorylated,0.0079912004459668,0.0589292722167521,Equilibrium,0.0183922775045428,0.0378477790662346,Equilibrium
CTNNB1 S37 mutants aren't phosphorylated,0.0079912004459668,0.0589292722167521,Equilibrium,0.0183922775045428,0.0378477790662346,Equilibrium
CTNNB1 S45 mutants aren't phosphorylated,0.0079912004459668,0.0589292722167521,Equilibrium,0.0183922775045428,0.0378477790662346,Equilibrium
CTNNB1 T41 mutants aren't phosphorylated,0.0079912004459668,0.0589292722167521,Equilibrium,0.0183922775045428,0.0378477790662346,Equilibrium
Ca-dependent events,0.0274875944072941,0.0217330267817804,Equilibrium,0.0303372895998952,0.00766704543111103,Equilibrium
Ca2+ pathway,0.0466937203697844,0.0471835055913631,Equilibrium,0.0562326616272249,0.0415666404303955,Equilibrium
CaM pathway,0.0273588752188548,0.0161124502826311,Equilibrium,0.0296870188895825,0.00111102274200771,Equilibrium
Calmodulin induced events,0.0273588752188548,0.0161124502826311,Equilibrium,0.0296870188895825,0.00111102274200771,Equilibrium
