pathway,mean_residual,deviation_kappa,n_genes,regime
ABC transporter disorders,0.0354983524694983,0.045546936096188,58,Equilibrium
ABC-family proteins mediated transport,0.0214188128672184,0.0442865980175767,75,Equilibrium
ADORA2B mediated anti-inflammatory cytokines production,0.0100486817482476,0.0175437820182199,41,Equilibrium
ADP signalling through P2Y purinoceptor 1,0.00845920206065079,0.0595193053262415,24,Equilibrium
ADP signalling through P2Y purinoceptor 12,-0.0133031036187166,0.0303034296306703,21,Equilibrium
AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),0.036257494387773,0.0669698108334938,52,Equilibrium
APC-Cdc20 mediated degradation of Nek2A,-0.00331344940313599,-0.0459217865455431,23,Equilibrium
APC/C-mediated degradation of cell cycle proteins,0.0425387258964932,-0.00463569359789317,70,Equilibrium
APC/C:Cdc20 mediated degradation of Cyclin B,0.0153538988848411,-0.0461250538606344,21,Equilibrium
APC/C:Cdc20 mediated degradation of Securin,0.0519113041622123,-0.0352844293960806,50,Equilibrium
APC/C:Cdc20 mediated degradation of mitotic proteins,0.0444543731316763,-0.00382381043139592,58,Equilibrium
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,0.0558129533747117,-0.0289001231492794,56,Equilibrium
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,0.0481723750649101,-0.0196117454106615,56,Equilibrium
ATF4 activates genes in response to endoplasmic reticulum  stress,-0.0332932248655577,-0.082776505765115,24,Buffered
ATP-dependent chromatin remodelers,0.0833206752839712,0.112362173965101,29,Topology-Amplified
AUF1 (hnRNP D0) binds and destabilizes mRNA,0.0829229538812674,-0.102953304743383,39,Decoupled
AURKA Activation by TPX2,0.010171574323491,0.0992912760233082,61,Equilibrium
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,0.0638329810919241,-0.0668270205479984,16,Decoupled
Aberrant regulation of mitotic cell cycle due to RB1 defects,0.0517032348479896,-0.0415803563405825,32,Equilibrium
Aberrant regulation of mitotic exit in cancer due to RB1 defects,0.049938930154359,0.0652514489502647,17,Equilibrium
Abortive elongation of HIV-1 transcript in the absence of Tat,-0.0268062458803039,0.0165768985627302,22,Equilibrium
Activated NOTCH1 Transmits Signal to the Nucleus,0.0404139004814394,-0.0448779553385494,26,Equilibrium
Activation of AMPK downstream of NMDARs,-0.0291331333014771,0.111981778245983,24,Equilibrium
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,0.0465955224674047,-0.000236046743367114,59,Equilibrium
Activation of ATR in response to replication stress,-0.0602682171545276,0.000534027815693599,37,Equilibrium
Activation of BAD and translocation to mitochondria,0.0435455089350128,-0.0328908517030075,15,Equilibrium
Activation of BH3-only proteins,0.0443268065138896,-0.00959702472731644,29,Equilibrium
Activation of G protein gated Potassium channels,0.0260691395325268,-0.043747333350661,26,Equilibrium
Activation of GABAB receptors,0.0189796778289694,-0.0321607185881337,39,Equilibrium
Activation of HOX genes during differentiation,0.0366648502584689,-0.00474892660118618,60,Equilibrium
"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",-0.0270440349244613,0.00657520609040573,18,Equilibrium
Activation of Matrix Metalloproteinases,-0.00278074373344235,-0.0644879601765322,24,Equilibrium
Activation of NF-kappaB in B cells,0.0538684369713683,-0.0381271242074936,51,Equilibrium
Activation of NMDA receptors and postsynaptic events,0.010175001934718,-0.0172442964731861,84,Equilibrium
Activation of anterior HOX genes in hindbrain development during early embryogenesis,0.0366648502584689,-0.00474892660118618,60,Equilibrium
Activation of gene expression by SREBF (SREBP),0.0413709040642794,0.10794387879163,40,Equilibrium
Activation of kainate receptors upon glutamate binding,0.0200337716787202,0.00574222659412508,29,Equilibrium
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.0703286830237398,-0.0181191845411816,56,Equilibrium
Activation of the pre-replicative complex,-0.0483061317992958,-0.00434966025427591,32,Equilibrium
Adherens junctions interactions,0.0539099559359246,0.0126695679250553,157,Equilibrium
Adipogenesis,0.0343312557352654,0.0145250071337132,101,Equilibrium
"Adrenaline,noradrenaline inhibits insulin secretion",-0.00421536941997757,0.0244750875192207,25,Equilibrium
Aerobic respiration and respiratory electron transport,-0.0298186439030652,-0.0118397905798379,191,Equilibrium
Aggrephagy,0.0108709933605127,0.0387216573372315,38,Equilibrium
Amine ligand-binding receptors,0.0422115226071532,-0.0252178076471879,26,Equilibrium
Amino acid transport across the plasma membrane,-0.0173718843124461,-0.0206610623092624,24,Equilibrium
Amino acids regulate mTORC1,-0.0118326911011008,0.0539400404979461,49,Equilibrium
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,-0.0113701183755791,0.0473155310046699,87,Equilibrium
Amplification of signal from the kinetochores,-0.0113701183755791,0.0473155310046699,87,Equilibrium
Amyloid fiber formation,0.0137818053097139,0.00795579178821774,50,Equilibrium
Anchoring of the basal body to the plasma membrane,0.00354717956180312,0.0779347327909373,81,Equilibrium
Anti-inflammatory response favouring Leishmania parasite infection,0.0205940928027883,0.0267993954254891,71,Equilibrium
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",-0.0131693650972719,0.0481751329095002,25,Equilibrium
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.0627470312093756,0.00621401488805529,30,Equilibrium
Antigen processing-Cross presentation,0.0189663376255849,0.0303443026775435,88,Equilibrium
"Antigen processing: Ub, ATP-independent proteasomal degradation",0.0382876675471667,0.338381214949757,19,Equilibrium
Antigen processing: Ubiquitination & Proteasome degradation,0.0209547578192637,0.0314414421336386,263,Equilibrium
Antimicrobial mechanism of IFN-stimulated genes,0.0105399192852193,0.0396464340946634,138,Equilibrium
Antimicrobial peptides,-0.0186306961593636,-0.0334249731685262,44,Equilibrium
Apoptosis,0.0217477048352404,0.0314075726740876,151,Equilibrium
Apoptotic cleavage of cellular proteins,-0.00508324885490057,0.00299221191223915,37,Equilibrium
Apoptotic execution phase,0.00441088201918217,0.0236796749197968,45,Equilibrium
Apoptotic factor-mediated response,-0.042713314692603,0.0678917001506449,16,Equilibrium
Aquaporin-mediated transport,-0.00207189013855279,0.0239437471684572,48,Equilibrium
Arachidonate metabolism,-0.0225669679193619,-0.0248728791726218,44,Equilibrium
Aspirin ADME,-0.0376960554818789,-0.0123775175754492,29,Equilibrium
Assembly Of The HIV Virion,0.0181566919865047,-0.0599577968136323,15,Equilibrium
Assembly and cell surface presentation of NMDA receptors,0.0113986436611756,-0.0558813901625802,37,Equilibrium
Assembly of active LPL and LIPC lipase complexes,-0.000429734587850224,-0.0569715968793222,17,Equilibrium
